2024-07-17 14:57:11 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:57:27 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:57:27 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:58:00 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:58:00 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:59:33 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 14:59:33 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:00:40 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:00:40 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:01:04 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:01:04 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:01:29 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 15:01:29 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:01:39 error: [GET] /api/users/getUsers >> StatusCode:: 500, Message:: connection 1 to 54.233.144.167:27017 closed
2024-07-17 16:01:52 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:01:52 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:02:31 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:02:31 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:03:15 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
2024-07-17 16:03:15 error: [GET] /api/veify-token/ >> StatusCode:: 404, Message:: ENOENT: no such file or directory, stat 'C:\Users\gorel\Documents\Projects\k-eternal\client\build\index.html'
